uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"8841b676-13f3-4b74-bba8-1a372ceb599f","TEAK_059.basePlot.vst","2015-09-02",,"D17","TEAK","TEAK_059","tower","evergreenForest",37.001454,-119.004259,"WGS84",20.4,321662.19,4096911.36,"11N",2142.3,0.9,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"100","noneSelected",,"noneSelected",800,400,800,,800,"work on subplot 21 began 20150831 and was completed 20150902","krian@neoninc.org","krian@neoninc.org","legacyData"
"46b529c5-85a4-427f-9060-06f97b4d9001","TEAK_060.basePlot.vst","2015-09-09",,"D17","TEAK","TEAK_060","tower","evergreenForest",37.000848,-119.005596,"WGS84",20.2,321541.80,4096846.63,"11N",2147.4,0.3,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"100","noneSelected",,"noneSelected",800,400,800,,800,"work in subplot 23 began 20150903 and was completed 20150909","tedgarian@neoninc.org","krian@neoninc.org","legacyData"
"eca679ad-ec5f-4b29-adb3-fdd38f3c855c","TEAK_049.basePlot.vst","2015-09-09",,"D17","TEAK","TEAK_049","tower","evergreenForest",37.000042,-119.006591,"WGS84",20.1,321451.37,4096759.07,"11N",2152.5,0.1,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"noneSelected","noneSelected",,"noneSelected",800,800,800,,800,"work in subplot 23 began 20150908 and was completed 20150909","lwade@field-ops.org","krian@neoninc.org","legacyData"
"e83a2b53-e8f4-4c02-9745-842b4562b3e5","TEAK_055.basePlot.vst","2015-09-10",,"D17","TEAK","TEAK_055","tower","evergreenForest",36.999220,-119.005545,"WGS84",20.3,321542.53,4096665.90,"11N",2158.7,0.3,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"noneSelected","noneSelected",,"100",800,800,800,,400,,"kzias@field-ops.org","krian@neoninc.org","legacyData"
"f1a9fd21-dbf0-49b1-86a7-2caf6cc3eac0","TEAK_062.basePlot.vst","2015-09-14",,"D17","TEAK","TEAK_062","tower","evergreenForest",37.000259,-119.008964,"WGS84",20.3,321240.70,4096787.60,"11N",2130.3,0.6,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"100","noneSelected",,"noneSelected",800,400,800,,800,"work in subplot 21 began 20150910 and was completed 20150914","tedgarian@neoninc.org","kzias@field-ops.org","legacyData"
"79a29d9d-38f9-45c5-ac63-e012cbfd711b","TEAK_056.basePlot.vst","2015-09-15",,"D17","TEAK","TEAK_056","tower","evergreenForest",37.002101,-119.010675,"WGS84",20.3,321092.75,4096995.19,"11N",2142.6,0.5,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"noneSelected","noneSelected",,"noneSelected",800,800,800,,800,,"kzias@field-ops.org","krian@neoninc.org","legacyData"
"8c77605a-07bd-4b8b-96bf-a19a0aa9bdbe","TEAK_044.basePlot.vst","2015-09-22",,"D17","TEAK","TEAK_044","tower","evergreenForest",37.003221,-119.010045,"WGS84",20.2,321151.44,4097118.27,"11N",2133.0,0.4,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"100","noneSelected",,"25",800,400,800,,100,"Work began in subplot 21 20150916 and was completed 20150922","tedgarian@neoninc.org","krian@neoninc.org","legacyData"
"4d507792-531c-4b56-bf2a-55d434e31f0c","TEAK_057.basePlot.vst","2015-09-22",,"D17","TEAK","TEAK_057","tower","evergreenForest",37.004089,-119.008047,"WGS84",20.2,321331.27,4097210.82,"11N",2140.3,0.3,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"noneSelected","noneSelected",,"noneSelected",800,800,800,,800,,"kzias@field-ops.org","krian@neoninc.org","legacyData"
"89f69577-c1b7-48c3-a0ee-b4bf0609b97a","TEAK_047.basePlot.vst","2015-09-23",,"D17","TEAK","TEAK_047","tower","evergreenForest",37.005149,-119.009069,"WGS84",20.4,321242.81,4097330.35,"11N",2143.3,0.7,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"100","noneSelected",,"noneSelected",800,400,800,,800,,"kzias@field-ops.org","krian@neoninc.org","legacyData"
"53111fc9-853c-48f0-b150-28b1634b7f59","TEAK_053.basePlot.vst","2015-09-23",,"D17","TEAK","TEAK_053","tower","evergreenForest",37.004851,-119.010746,"WGS84",20.4,321092.88,4097300.44,"11N",2133.3,1.0,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"noneSelected","noneSelected",,"noneSelected",800,800,800,,800,,"kzias@field-ops.org","krian@neoninc.org","legacyData"
"27cfc9b6-7c48-4c3e-be51-9baaff44a2e7","TEAK_051.basePlot.vst","2015-09-24",,"D17","TEAK","TEAK_051","tower","evergreenForest",37.002985,-119.007333,"WGS84",20.3,321392.22,4097086.99,"11N",2144.0,0.6,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"10","noneSelected",,"noneSelected",800,40,800,,800,,"kzias@field-ops.org","krian@neoninc.org","legacyData"
"fbaa8fc1-1bf6-45e5-8385-9f7776e6487c","TEAK_046.basePlot.vst","2015-09-29",,"D17","TEAK","TEAK_046","tower","evergreenForest",37.006791,-119.007756,"WGS84",20.2,321363.49,4097510.07,"11N",2151.2,0.3,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"100","noneSelected",,"noneSelected",800,400,800,,800,,"kzias@field-ops.org","krian@neoninc.org","legacyData"
"41443c91-02e7-4cb2-b512-899a5a95c2d8","TEAK_058.basePlot.vst","2015-09-30",,"D17","TEAK","TEAK_058","tower","evergreenForest",36.998096,-119.007605,"WGS84",20.2,321356.58,4096545.06,"11N",2125.6,0.2,,"vst_TEAK_2015",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,,"100","noneSelected",,"100",800,400,800,,400,,"kzias@field-ops.org","krian@neoninc.org","legacyData"
