uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"198856c1-2bb9-4889-a76f-b2ebc5ee8caa","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05933","1","ok","sapling","Live",,,"noChange",0.7,,,,,,"Partially shaded",,1.3,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","0b2e06a0-a230-4f8f-9dc3-e402a59eda1d",
"48dbd097-9e77-41cd-b74c-2a952679c66e","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02028","1","ok","sapling","Live",,,"noChange",1.1,,,,,,"Partially shaded",,2.9,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","7843dcec-907d-48d9-814e-13057dcaf64d",
"7f3281d9-0c7d-4651-bf0c-08167a616f59","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.09342","1","ok","small shrub","Standing dead",,,"noChange",0.5,,,,4.4,3.9,"Partially shaded","oblate half-sphere",3.2,10,,,,,,,,,,,"Dead; Individual killed in wildland fire","0000-0002-5872-682X","0000-0003-1699-6511","2510d39e-d3ca-43c0-85cb-8fd60034ba82",
"b6c754ee-836a-41d4-8ff3-d742978a535c","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02140","1","ok","single bole tree","Live",11.6,130,"noChange",10.3,,,,1.8,1.6,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","e5318adf-45e3-4a3f-ba89-e0fabbe20c6d",
"ed1e6a85-2634-4803-83f9-1aeab96e376f","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05909","6","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.1,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","b458ad93-9f91-4ea9-aa52-58f9d6299c96",
"72aae7b9-012b-43ac-96e6-4dd6ab829145","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02044","1","ok","small tree","Live",6.7,130,"noChange",3.0,,,,2.3,1.5,"Partially shaded",,,,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","0406d6ff-e607-4b6a-be02-0c97b7e03af3",
"64a49d02-891e-401f-9871-a662483d186b","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02057","1",,,"Lost, fate unknown",,,"noChange",,,,,,,,,,,,,,,,,,,,,"Lost; likely downed","0000-0002-5872-682X","0000-0003-1699-6511","633c48a5-d6ef-4cf5-b1fe-6d5dc8ba9dfe",
"12f6255e-9a1b-4aae-bd0b-35528a688d54","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.05909","5","ok","small shrub","Live",,,"noChange",,,,,,,,"oblate half-sphere",1.2,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","b66e43b8-57a4-4c9d-894f-ac0e53f153d0",
"c8d1cd34-3686-4a91-be2f-059b9b95f005","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.09058","1","ok","sapling","Live",,,"noChange",0.5,,,,,,"Mostly shaded",,1.3,10,,,,,,,,,,,,"0000-0002-5872-682X","0000-0003-1699-6511","6c3f7323-4fe6-4b6a-a672-e1bba6e86807",
"2843843f-be74-4d7d-86eb-4cb2fe83842d","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02132","1","ok","single bole tree","Live",30.5,131,"noChange",19.4,,,,4.1,4.0,"Partially shaded",,,,,,"2021-08-09","2021-08-09",29.1,30.50,163,29.70,"ok",29.07,"Apparent change in measurementHeight from 2015 due to duff layer changes","0000-0002-5872-682X","0000-0003-1699-6511","4ef20ea1-420b-44db-bb6d-7f7c76c6ec26",
"41b70166-4f25-4b00-a693-513e0da18aeb","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.09342","28","ok","small shrub","Standing dead",,,"noChange",,,,,,,,"oblate half-sphere",2.8,10,,,,,,,,,,,"Dead; Individual killed in wildland fire","0000-0002-5872-682X","0000-0003-1699-6511","b772b0b9-8642-4b09-81a3-d5b6419e6ca7",
"135ef3b2-81a4-4e20-b2c1-aef1bb1d0c50","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","41_400","NEON.PLA.D17.TEAK.02109","1","ok","sapling","Standing dead",,,"noChange",0.8,,,,,,"Mostly shaded",,2.2,10,,,,,,,,,,,"Dead; Unknown cause of death","0000-0002-5872-682X","0000-0003-1699-6511","ed2935f9-52c6-4d73-afa7-ad1fc37ce881",
"1b6c433f-293d-4065-8f44-5608a17b31ae","TEAK_046.basePlot.vst","2021-09-13","vst_TEAK_2021","D17","TEAK","TEAK_046","39_400","NEON.PLA.D17.TEAK.02006","1","ok","single bole tree","Live",45.7,130,"noChange",7.1,,,,4.2,3.5,"Partially shaded",,,,,,"2021-08-09","2021-08-09",43.4,12.60,135,13.00,"ok",43.41,,"0000-0002-5872-682X","0000-0003-1699-6511","fbd73458-8f91-4a83-a1cf-4a35fc83988c",
