uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"25c2d8e2-a70d-47c7-a782-c7b9fc7f481a","TEAK_046.basePlot.vst","2023-08-09",,"D17","TEAK","TEAK_046","tower","evergreenForest",37.006791,-119.007756,"WGS84",20.2,321363.49,4097510.07,"11N",2151.2,0.3,"OK","vst_TEAK_2023","towerSubset","allGrowthForms","39_400|41_400","NEON.DOC.000987vM","Y","Y","N","Present - sampled","Present - sampled","N","N","N","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",800,40,800,800,800,,,,
"dd504342-44e9-47bb-ae86-8d330eb32a51","TEAK_047.basePlot.vst","2023-08-14",,"D17","TEAK","TEAK_047","tower","evergreenForest",37.005149,-119.009069,"WGS84",20.4,321242.81,4097330.35,"11N",2143.3,0.7,"OK","vst_TEAK_2023","towerSubset","allGrowthForms","21_400|41_400","NEON.DOC.000987vM","Y","Y","N","Present - sampled","Present - sampled","N","N","N","N","N","N","N","N","100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"f0238233-d8a5-4eda-ae20-53f8f753384a","TEAK_044.basePlot.vst","2023-08-15",,"D17","TEAK","TEAK_044","tower","evergreenForest",37.003221,-119.010045,"WGS84",20.2,321151.44,4097118.27,"11N",2133.0,0.4,"OK","vst_TEAK_2023","towerSubset","allGrowthForms","21_400|39_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","100","noneSelected","noneSelected","noneSelected",800,400,800,,800,,,,
"c3713b4d-efa4-4c74-a6f3-ebf414653a75","TEAK_045.basePlot.vst","2023-08-17",,"D17","TEAK","TEAK_045","tower","evergreenForest",36.997917,-119.003820,"WGS84",20.5,321693.00,4096518.10,"11N",2137.0,0.5,"OK","vst_TEAK_2023","towerSubset","allGrowthForms","23_400|39_400","NEON.DOC.000987vM","Y","Y","Y","Present - sampled","Present - sampled","N","N","Present - sampling criteria not met","N","N","N","N","N","noneSelected","noneSelected","noneSelected","noneSelected",800,800,800,,800,,,,
"1fc15f81-15d0-47d7-97c1-a51a43dd8ddc","TEAK_056.basePlot.vst","2023-08-22",,"D17","TEAK","TEAK_056","tower","evergreenForest",37.002101,-119.010675,"WGS84",20.3,321092.75,4096995.19,"11N",2142.6,0.5,"OK","vst_TEAK_2023","towerSubset","dendrometerOnly","21_400|39_400","NEON.DOC.000987vM","Y",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected","noneSelected",,,,,,,,,
"c47992a4-a020-4f6a-aec7-3a306fa5e0f8","TEAK_057.basePlot.vst","2023-08-22",,"D17","TEAK","TEAK_057","tower","evergreenForest",37.004089,-119.008047,"WGS84",20.2,321331.27,4097210.82,"11N",2140.3,0.3,"OK","vst_TEAK_2023","towerSubset","dendrometerOnly","21_400|23_400","NEON.DOC.000987vM","Y",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected","noneSelected",,,,,,,,,
"88ee19ac-516b-4150-a869-0bfc97697427","TEAK_050.basePlot.vst","2023-08-22",,"D17","TEAK","TEAK_050","tower","evergreenForest",37.004195,-119.016131,"WGS84",20.3,320612.15,4097237.80,"11N",2148.9,0.8,"OK","vst_TEAK_2023","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vM","Y",,,,,,,,,,,,,"25","noneSelected","noneSelected","noneSelected",,,,,,,,,
"973f3f51-ed9d-470d-8a0d-4945e2559b83","TEAK_053.basePlot.vst","2023-08-22",,"D17","TEAK","TEAK_053","tower","evergreenForest",37.004851,-119.010746,"WGS84",20.4,321092.88,4097300.44,"11N",2133.3,1.0,"OK","vst_TEAK_2023","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vM","Y",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected","noneSelected",,,,,,,,,
"3da3326e-2541-4a03-b478-536841997e2a","TEAK_051.basePlot.vst","2023-08-22",,"D17","TEAK","TEAK_051","tower","evergreenForest",37.002985,-119.007333,"WGS84",20.3,321392.22,4097086.99,"11N",2144.0,0.6,"OK","vst_TEAK_2023","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vM","Y",,,,,,,,,,,,,"10","noneSelected","noneSelected","noneSelected",,,,,,,,,
"22762d96-b681-47f8-a8f6-32f8502283d9","TEAK_052.basePlot.vst","2023-08-22",,"D17","TEAK","TEAK_052","tower","evergreenForest",37.008938,-119.009507,"WGS84",20.1,321212.71,4097751.57,"11N",2162.6,0.1,"OK","vst_TEAK_2023","towerSubset","dendrometerOnly","23_400|41_400","NEON.DOC.000987vM","Y",,,,,,,,,,,,,"100","noneSelected","noneSelected","noneSelected",,,,,,,,,
