filename,measurementHeight,stemDiameter,baseCrownHeight,easting,northing,utmZone,decimalLatitude,decimalLongitude,stemAzimuth,stemDistance
2015-08,130.0,10.8,,321693.0,4096518.1,11N,36.997917,-119.00382,213.6,1.8
2015-08,130.0,54.0,,321693.0,4096518.1,11N,36.997917,-119.00382,346.2,16.5
2015-08,130.0,2.5,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,31.1,,321693.0,4096518.1,11N,36.997917,-119.00382,202.7,3.4
2015-08,130.0,28.1,,321693.0,4096518.1,11N,36.997917,-119.00382,243.1,7.8
2015-08,130.0,9.8,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,2.7,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,,,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,12.5,,321693.0,4096518.1,11N,36.997917,-119.00382,248.5,4.3
2015-08,130.0,6.1,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,23.2,,321693.0,4096518.1,11N,36.997917,-119.00382,344.4,1.6
2015-08,130.0,2.7,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,8.0,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,25.9,,321693.0,4096518.1,11N,36.997917,-119.00382,256.5,10.6
2015-08,130.0,5.3,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,35.0,,321693.0,4096518.1,11N,36.997917,-119.00382,99.6,18.1
2015-08,130.0,12.6,,321693.0,4096518.1,11N,36.997917,-119.00382,72.3,10.2
2015-08,130.0,4.7,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,100.8,,321693.0,4096518.1,11N,36.997917,-119.00382,337.0,5.0
2015-08,130.0,36.7,,321693.0,4096518.1,11N,36.997917,-119.00382,254.6,5.6
2015-08,130.0,2.3,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,130.7,,321693.0,4096518.1,11N,36.997917,-119.00382,108.1,8.0
2015-08,130.0,6.2,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,3.4,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,6.6,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,1.3,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,1.3,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,37.1,,321693.0,4096518.1,11N,36.997917,-119.00382,78.1,6.9
2015-08,130.0,7.1,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,17.6,,321693.0,4096518.1,11N,36.997917,-119.00382,268.9,14.3
2015-08,,,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,40.1,,321693.0,4096518.1,11N,36.997917,-119.00382,251.3,6.4
2015-08,130.0,14.9,,321693.0,4096518.1,11N,36.997917,-119.00382,39.8,8.9
2015-08,,,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,19.6,,321693.0,4096518.1,11N,36.997917,-119.00382,266.0,13.0
2015-08,130.0,3.7,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,6.5,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,1.5,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,6.9,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,11.5,,321693.0,4096518.1,11N,36.997917,-119.00382,267.2,11.2
2015-08,130.0,8.5,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,17.5,,321693.0,4096518.1,11N,36.997917,-119.00382,173.0,3.4
2015-08,130.0,14.4,,321693.0,4096518.1,11N,36.997917,-119.00382,145.0,6.0
2015-08,130.0,8.1,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,11.0,,321693.0,4096518.1,11N,36.997917,-119.00382,174.0,2.6
2015-08,130.0,74.8,,321693.0,4096518.1,11N,36.997917,-119.00382,334.6,6.3
2015-08,130.0,42.4,,321693.0,4096518.1,11N,36.997917,-119.00382,230.1,2.1
2015-08,130.0,1.8,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,10.5,,321693.0,4096518.1,11N,36.997917,-119.00382,266.8,14.5
2015-08,130.0,26.4,,321693.0,4096518.1,11N,36.997917,-119.00382,64.9,3.2
2015-08,130.0,130.7,,321693.0,4096518.1,11N,36.997917,-119.00382,222.8,12.2
2015-08,,,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,10.6,,321693.0,4096518.1,11N,36.997917,-119.00382,75.4,7.1
2015-08,130.0,15.6,,321693.0,4096518.1,11N,36.997917,-119.00382,112.8,10.2
2015-08,,,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,9.7,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,6.4,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,,,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,4.2,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,13.3,,321693.0,4096518.1,11N,36.997917,-119.00382,133.4,9.0
2015-08,130.0,1.8,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,26.2,,321693.0,4096518.1,11N,36.997917,-119.00382,146.7,10.9
2015-08,130.0,6.0,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,21.5,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,73.7,,321693.0,4096518.1,11N,36.997917,-119.00382,306.0,2.8
2015-08,130.0,34.4,,321693.0,4096518.1,11N,36.997917,-119.00382,98.0,16.5
2015-08,130.0,14.0,,321693.0,4096518.1,11N,36.997917,-119.00382,244.5,6.0
2015-08,130.0,5.3,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,5.4,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,22.1,,321693.0,4096518.1,11N,36.997917,-119.00382,118.3,9.1
2015-08,130.0,4.3,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,14.0,,321693.0,4096518.1,11N,36.997917,-119.00382,146.2,5.1
2015-08,130.0,3.2,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,27.7,,321693.0,4096518.1,11N,36.997917,-119.00382,76.9,8.6
2015-08,130.0,9.1,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,13.3,,321693.0,4096518.1,11N,36.997917,-119.00382,13.5,2.3
2015-08,130.0,3.6,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,46.8,,321693.0,4096518.1,11N,36.997917,-119.00382,252.8,11.8
2015-08,130.0,14.0,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,10.5,,321693.0,4096518.1,11N,36.997917,-119.00382,64.9,8.8
2015-08,,,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,12.6,,321693.0,4096518.1,11N,36.997917,-119.00382,115.2,3.4
2015-08,130.0,37.5,,321693.0,4096518.1,11N,36.997917,-119.00382,96.5,4.5
2015-08,130.0,31.8,,321693.0,4096518.1,11N,36.997917,-119.00382,226.8,1.0
2015-08,130.0,5.8,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,7.7,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,26.8,,321693.0,4096518.1,11N,36.997917,-119.00382,160.8,9.0
2015-08,130.0,15.0,,321693.0,4096518.1,11N,36.997917,-119.00382,116.4,4.4
2015-08,130.0,22.2,,321693.0,4096518.1,11N,36.997917,-119.00382,218.3,1.8
2015-08,130.0,104.3,,321693.0,4096518.1,11N,36.997917,-119.00382,244.5,13.1
2015-08,,,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,36.0,,321693.0,4096518.1,11N,36.997917,-119.00382,344.4,13.8
2015-08,130.0,3.5,,321693.0,4096518.1,11N,36.997917,-119.00382,,
2015-08,130.0,12.9,,321693.0,4096518.1,11N,36.997917,-119.00382,261.5,1.0
2015-08,130.0,25.5,,321693.0,4096518.1,11N,36.997917,-119.00382,224.7,4.7
2015-08,130.0,67.8,,321901.47,4096668.34,11N,36.99931,-119.001514,239.3,7.8
2015-08,130.0,18.3,,321901.47,4096668.34,11N,36.99931,-119.001514,,
2015-08,130.0,46.0,,321901.47,4096668.34,11N,36.99931,-119.001514,323.5,2.7
2015-08,,,,321901.47,4096668.34,11N,36.99931,-119.001514,,
2015-08,130.0,18.8,,321901.47,4096668.34,11N,36.99931,-119.001514,182.6,14.7
2015-08,,,,321901.47,4096668.34,11N,36.99931,-119.001514,,
2015-08,130.0,57.7,,321901.47,4096668.34,11N,36.99931,-119.001514,221.6,14.9
2015-08,130.0,8.5,,321901.47,4096668.34,11N,36.99931,-119.001514,,
2015-08,130.0,2.1,,321901.47,4096668.34,11N,36.99931,-119.001514,,
2015-08,130.0,18.4,,321901.47,4096668.34,11N,36.99931,-119.001514,,
2015-08,130.0,16.2,,321901.47,4096668.34,11N,36.99931,-119.001514,197.7,5.9
2015-08,130.0,16.2,,321901.47,4096668.34,11N,36.99931,-119.001514,275.6,8.6
2015-08,130.0,34.2,,321901.47,4096668.34,11N,36.99931,-119.001514,197.3,12.2
2015-08,130.0,19.2,,321901.47,4096668.34,11N,36.99931,-119.001514,310.2,3.9
2015-08,130.0,6.1,,321901.47,4096668.34,11N,36.99931,-119.001514,,
2015-08,130.0,66.2,,321901.47,4096668.34,11N,36.99931,-119.001514,192.5,5.6
2015-08,130.0,10.5,,321901.47,4096668.34,11N,36.99931,-119.001514,184.0,16.9
2015-08,130.0,149.5,,321901.47,4096668.34,11N,36.99931,-119.001514,236.8,11.7
2015-08,130.0,64.9,,321901.47,4096668.34,11N,36.99931,-119.001514,187.2,9.1
2015-08,130.0,24.0,,321901.47,4096668.34,11N,36.99931,-119.001514,276.2,1.9
